Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
1047,Flagler College,Private School,"$53,000 ","$96,200 ",0%
1047,California Baptist University,"Private School, Religious","$63,100 ","$96,200 ",11%
1047,Southwestern College (Kansas),"Private School, Religious","$61,300 ","$96,200 ",20%
1054,Johnson & Wales University-Providence,Private School,"$59,700 ","$96,100 ",4%
1054,Lubbock Christian University,"Private School, Religious","$58,100 ","$96,100 ",9%
1054,Columbus State University,State School,"$53,500 ","$96,100 ",10%
1054,Earlham College,"Liberal Arts School, Private School, Religious","$64,200 ","$96,100 ",32%
1058,Dickinson State University,State School,"$60,500 ","$96,000 ",6%
1058,Virginia Wesleyan University,"Liberal Arts School, Private School, Religious","$59,300 ","$96,000 ",11%
1058,Francis Marion University,State School,"$56,700 ","$96,000 ",15%
1058,Clayton State University,State School,"$60,600 ","$96,000 ",8%
1058,Dominican University,"Private School, Religious","$61,600 ","$96,000 ",9%
1063,Russell Sage College,Private School,"$54,700 ","$95,900 ",4%
1063,University of South Carolina-Upstate,"For Sports Fans, State School","$58,300 ","$95,900 ",12%
1063,Warner University,"Private School, Religious","$53,200 ","$95,900 ",2%
1063,Saint Francis Medical Center College of Nursing,"Private School, Religious","$67,700 ","$95,900 ",0%
1063,University of Southern Mississippi,"Research University, For Sports Fans, State School","$55,500 ","$95,900 ",10%
1063,Kansas Wesleyan University,"Private School, Religious","$54,700 ","$95,900 ",9%
1069,Empire State University,State School,"$59,100 ","$95,800 ",6%
1069,University of Michigan-Flint,State School,"$58,700 ","$95,800 ",15%
1069,Emporia State University,State School,"$55,400 ","$95,800 ",6%
1072,Oklahoma Wesleyan University,"Private School, Religious","$55,000 ","$95,700 ",2%
1072,College of Our Lady of the Elms,"Private School, Religious","$59,400 ","$95,700 ",9%
1072,Drury University,"Private School, Religious","$54,800 ","$95,700 ",24%
1072,Maryville University of Saint Louis,"Private School, Research University","$59,700 ","$95,700 ",4%
1076,Guilford College,"Liberal Arts School, Private School, Religious","$54,200 ","$95,600 ",22%
1076,Marshall University,"For Sports Fans, State School","$56,500 ","$95,600 ",10%
1076,East Texas Baptist University,"Private School, Religious","$55,600 ","$95,600 ",5%
1076,Palm Beach Atlantic University,"Private School, Religious","$58,400 ","$95,600 ",6%
1076,Eureka College,"Private School, Religious","$56,300 ","$95,600 ",5%
1076,Colorado Mesa University,State School,"$60,800 ","$95,600 ",9%
1076,Northern Michigan University,State School,"$56,800 ","$95,600 ",11%
1083,Fisk University,"Liberal Arts School, Private School","$57,100 ","$95,500 ",46%
1083,Texas Wesleyan University,"Private School, Religious","$53,800 ","$95,500 ",5%
1083,Texas Southern University,"Research University, For Sports Fans, State School","$58,800 ","$95,500 ",13%
1083,College of Saint Mary,"Private School, Religious","$58,300 ","$95,500 ",2%
1083,Cambridge College,Private School,"$52,200 ","$95,500 ",0%
1088,Mount Vernon Nazarene University,"Private School, Religious","$55,200 ","$95,400 ",8%
1088,The University of the Arts,"Art, Private School","$61,200 ","$95,400 ",0%
1088,Georgian Court University,"Private School, Religious","$54,000 ","$95,400 ",4%
1088,Morgan State University,"Research University, For Sports Fans, State School","$65,700 ","$95,400 ",25%
1092,Kent State University at Stark,State School,"$54,100 ","$95,300 ",1%
1092,Winthrop University,"For Sports Fans, State School","$55,900 ","$95,300 ",9%
1092,Goshen College,"Private School, Religious","$56,100 ","$95,300 ",15%
1092,Missouri Southern State University,State School,"$57,600 ","$95,300 ",8%
1096,Geneva College,"Private School, Religious","$61,600 ","$95,200 ",28%
1096,Saginaw Valley State University,State School,"$59,300 ","$95,200 ",12%
1098,Caldwell University,"Private School, Religious","$54,000 ","$95,100 ",10%
1098,Everglades University,Private School,"$57,700 ","$95,100 ",0%
1098,Wayland Baptist University,"Private School, Religious","$59,900 ","$95,100 ",2%
1098,Southern New Hampshire University,Private School,"$61,500 ","$95,100 ",9%
1102,Illinois College,"Liberal Arts School, Private School, Religious","$57,200 ","$95,000 ",19%
1102,Lyon College,"Liberal Arts School, Private School, Religious","$56,600 ","$95,000 ",31%
1102,University of Northwestern-St Paul,"Private School, Religious","$60,100 ","$95,000 ",11%
1102,Kentucky Wesleyan College,"Private School, Religious","$53,400 ","$95,000 ",18%
1106,Northwestern Oklahoma State University,State School,"$53,800 ","$94,900 ",8%
1106,Misericordia University,"Private School, Religious","$59,700 ","$94,900 ",3%
1106,Howard Payne University,"Private School, Religious","$56,200 ","$94,900 ",8%
1106,Hardin-Simmons University,"Private School, Religious","$59,700 ","$94,900 ",7%
1106,Arkansas State University,"For Sports Fans, State School","$56,000 ","$94,900 ",4%
1106,Hood College,Private School,"$61,100 ","$94,900 ",25%
1112,University of Dubuque,"Private School, Religious","$56,600 ","$94,800 ",8%
1113,University of Mary,"Private School, Religious","$60,100 ","$94,700 ",7%
1114,Cedar Crest College,Private School,"$61,200 ","$94,600 ",8%
1115,Eastern Kentucky University,"For Sports Fans, State School","$57,100 ","$94,500 ",6%
1116,CUNY Medgar Evers College,State School,"$62,300 ","$94,400 ",37%
1116,SUNY at Fredonia,State School,"$56,500 ","$94,400 ",11%
1116,Florida Institute of Technology-Online,"Business, Private School","$57,300 ","$94,400 ",10%
1116,Henderson State University,State School,"$53,900 ","$94,400 ",7%
1116,Upper Iowa University,Private School,"$56,100 ","$94,400 ",2%
1121,Peirce College,Private School,"$57,700 ","$94,300 ",9%
1121,Mercyhurst University,"Private School, Religious","$59,800 ","$94,300 ",10%
1121,University of South Carolina Aiken,State School,"$52,800 ","$94,300 ",8%
1121,University of Houston-Victoria,State School,"$59,400 ","$94,300 ",8%
1121,Anderson University (Indiana),"Private School, Religious","$59,200 ","$94,300 ",11%
1126,Antioch University,Private School,"$51,400 ","$94,200 ",0%
1126,Indiana University-Northwest,State School,"$55,000 ","$94,200 ",9%
1126,University of Arkansas for Medical Sciences,State School,"$64,300 ","$94,200 ",4%
1126,Nebraska Wesleyan University,"Private School, Religious","$59,800 ","$94,200 ",15%
1130,Montreat College,"Private School, Religious","$55,000 ","$94,100 ",26%
1130,Austin Peay State University,"For Sports Fans, State School","$56,100 ","$94,100 ",10%
1130,St. Thomas University,"Private School, Religious","$57,700 ","$94,100 ",4%
1130,Fort Hays State University,State School,"$57,900 ","$94,100 ",8%
1130,Fisher College,Private School,"$57,200 ","$94,100 ",6%
1130,Thomas College,Private School,"$57,100 ","$94,100 ",7%
1130,Husson University,Private School,"$54,400 ","$94,100 ",1%
1137,Ottawa University-Milwaukee,"Private School, Religious","$58,700 ","$94,000 ",27%
1137,Mount Marty University,"Private School, Religious","$56,300 ","$94,000 ",2%
1139,Meredith College,"Liberal Arts School, Private School","$56,600 ","$93,900 ",14%
1139,SUNY Buffalo State University,State School,"$55,800 ","$93,900 ",7%
1141,William Jessup University,"Private School, Religious","$56,200 ","$93,800 ",9%
1142,University of Saint Francis-Fort Wayne,"Private School, Religious","$57,000 ","$93,700 ",6%
1143,Alverno College,"Private School, Religious","$56,100 ","$93,600 ",2%
1143,Morningside University,"Private School, Religious","$57,500 ","$93,600 ",7%
1145,The University of Texas Rio Grande Valley,"Research University, For Sports Fans, State School","$57,400 ","$93,500 ",19%
1145,Indiana University-East,State School,"$60,300 ","$93,500 ",19%
1145,Indiana University-South Bend,State School,"$57,800 ","$93,500 ",8%
1148,Massachusetts College of Liberal Arts,"Liberal Arts School, State School","$57,200 ","$93,400 ",12%
1148,Stephens College,Private School,"$55,800 ","$93,400 ",7%
1150,Viterbo University,"Private School, Religious","$58,300 ","$93,300 ",2%
1150,Troy University,"For Sports Fans, State School","$56,300 ","$93,300 ",7%
1150,Brescia University,"Private School, Religious","$50,900 ","$93,300 ",8%
1153,Schreiner University,"Liberal Arts School, Private School, Religious","$52,700 ","$93,200 ",15%
1153,Huston-Tillotson University,"Private School, Religious","$53,000 ","$93,200 ",10%
1153,Athens State University,State School,"$59,300 ","$93,200 ",5%
1153,MidAmerica Nazarene University,"Private School, Religious","$62,200 ","$93,200 ",4%
1153,Northwestern State University of Louisiana,"For Sports Fans, State School","$56,100 ","$93,200 ",5%
1158,Ursuline College,"Private School, Religious","$57,100 ","$93,100 ",2%
1158,Los Angeles Pacific University,"Private School, Religious","$58,800 ","$93,100 ",0%
1158,Brenau University,Private School,"$58,000 ","$93,100 ",1%
1161,Eastern New Mexico University-Main Campus,State School,"$55,700 ","$93,000 ",4%
1161,University of Southern Indiana,State School,"$57,800 ","$93,000 ",8%
1161,Arkansas Tech University,State School,"$57,200 ","$93,000 ",7%
1161,Siena Heights University,"Private School, Religious","$55,700 ","$93,000 ",7%
1165,Nazareth College,Private School,"$54,400 ","$92,900 ",5%
1165,Fairmont State University,State School,"$52,500 ","$92,900 ",7%
1165,Fontbonne University,"Private School, Religious","$56,500 ","$92,900 ",10%
1165,Iowa Wesleyan University,"Private School, Religious","$54,500 ","$92,900 ",9%
1169,Seton Hill University,"Private School, Religious","$56,400 ","$92,800 ",11%
1170,Notre Dame College,"Private School, Religious","$56,100 ","$92,700 ",6%
1170,Malone University,"Private School, Religious","$58,100 ","$92,700 ",9%
1170,Wingate University,Private School,"$53,100 ","$92,700 ",11%
1170,SUNY College of Agriculture and Technology at Cobleskill,State School,"$52,200 ","$92,700 ",6%
1170,Midwestern Baptist Theological Seminary,"Private School, Religious","$49,800 ","$92,700 ",0%
1175,Tiffin University,Private School,"$55,200 ","$92,600 ",3%
1175,Hollins University,"Liberal Arts School, Private School","$51,600 ","$92,600 ",8%
1175,Coastal Carolina University,"For Sports Fans, State School","$56,700 ","$92,600 ",14%
1175,Valencia College,State School,"$60,700 ","$92,600 ",8%
1175,University of the Ozarks,"Private School, Religious","$55,100 ","$92,600 ",16%
1175,San Diego Christian College,"Private School, Religious","$58,400 ","$92,600 ",2%
1181,Missouri Baptist University,"Private School, Religious","$55,900 ","$92,500 ",3%
1182,Lourdes University,"Private School, Religious","$58,000 ","$92,400 ",3%
1182,West Liberty University,State School,"$54,200 ","$92,400 ",7%
1182,Southwestern Assemblies of God University,"Private School, Religious","$52,100 ","$92,400 ",0%
1182,Humphreys University-Stockton and Modesto Campuses,Private School,"$55,800 ","$92,400 ",0%
1186,University of North Carolina at Greensboro,"Research University, For Sports Fans, State School","$55,800 ","$92,300 ",12%
1186,University of the Incarnate Word,"Private School, Religious, For Sports Fans","$59,200 ","$92,300 ",8%
1188,Bennett College,"Private School, Religious","$51,900 ","$92,100 ",25%
1188,Southern Arkansas University Main Campus,State School,"$51,800 ","$92,100 ",14%
1190,Bastyr University,Private School,"$60,100 ","$92,000 ",0%
1190,Bellevue College,State School,"$67,100 ","$92,000 ",13%
1190,Texas A & M International University,State School,"$51,200 ","$92,000 ",13%
1190,Miami Dade College,State School,"$58,400 ","$92,000 ",3%
1194,Milwaukee Institute of Art & Design,"Art, Private School","$56,600 ","$91,900 ",0%
1194,Montana State University Billings,State School,"$54,600 ","$91,900 ",4%
1194,Coppin State University,"For Sports Fans, State School","$58,000 ","$91,900 ",7%
1197,Charleston Southern University,"Private School, Religious, For Sports Fans","$53,100 ","$91,800 ",9%
1197,Marian University (Indiana),"Private School, Religious","$63,100 ","$91,800 ",10%
1197,Mississippi College,"Private School, Religious","$55,800 ","$91,800 ",16%
1200,Thiel College,"Liberal Arts School, Private School, Religious","$50,400 ","$91,700 ",15%
1200,Southwestern Adventist University,"Private School, Religious","$52,800 ","$91,700 ",12%
1200,Florida SouthWestern State College,State School,"$54,300 ","$91,700 ",2%
1203,Granite State College,State School,"$57,400 ","$91,600 ",2%
1203,New Mexico Highlands University,State School,"$53,700 ","$91,600 ",6%
1203,Bluefield State University,State School,"$62,900 ","$91,600 ",1%
1203,Johnson & Wales University-Online,"Business, Private School","$56,500 ","$91,600 ",1%
1203,Georgia Gwinnett College,State School,"$58,700 ","$91,600 ",22%
1203,University of Wisconsin-Green Bay,"For Sports Fans, State School","$58,000 ","$91,600 ",8%
1203,Southern Adventist University,"Private School, Religious","$59,000 ","$91,600 ",10%
1203,Shorter University,"Private School, Religious","$55,500 ","$91,600 ",6%
1203,University of Hawaii-West Oahu,State School,"$54,700 ","$91,600 ",0%
1203,Baker College,Private School,"$59,400 ","$91,600 ",8%
1213,Warren Wilson College,"Liberal Arts School, Private School","$46,500 ","$91,500 ",13%
1213,SUNY College of Technology at Canton,State School,"$51,900 ","$91,500 ",6%
1213,Norfolk State University,"For Sports Fans, State School","$56,300 ","$91,500 ",19%
1213,Herzing University-Brookfield,Private School,"$63,600 ","$91,500 ",1%
1213,Huntingdon College,"Private School, Religious","$50,000 ","$91,500 ",12%
1218,Greensboro College,"Private School, Religious","$59,200 ","$91,400 ",5%
1219,Adrian College,"Private School, Religious","$54,200 ","$91,300 ",11%
1220,Bluffton University,"Private School, Religious","$55,400 ","$91,100 ",6%
1220,Eastern Mennonite University,"Private School, Religious","$56,300 ","$91,100 ",9%
1220,Tennessee State University,"Research University, For Sports Fans, State School","$60,500 ","$91,100 ",17%
1220,Amridge University,"Private School, Religious","$54,000 ","$91,100 ",0%
1224,Pfeiffer University,"Private School, Religious","$56,400 ","$91,000 ",6%
1224,Chicago State University,"For Sports Fans, State School","$54,100 ","$91,000 ",12%
1224,Faulkner University,"Business, Private School, Religious","$49,800 ","$91,000 ",2%
1227,Western Carolina University,"For Sports Fans, State School","$57,400 ","$90,900 ",8%
1227,Lincoln University (Pennsylvania),State School,"$61,800 ","$90,900 ",11%
1229,Central Methodist University-College of Liberal Arts and Sciences,"Private School, Religious","$57,000 ","$90,800 ",20%
1230,Columbus College of Art and Design,"Art, Private School","$56,900 ","$90,700 ",0%
1230,Western New Mexico University,State School,"$56,500 ","$90,700 ",3%
1230,Lander University,State School,"$51,600 ","$90,700 ",8%
1230,Columbia College (Missouri),"Private School, Religious","$57,200 ","$90,700 ",4%
1234,Our Lady of the Lake University,"Private School, Religious","$54,100 ","$90,600 ",5%
1234,Texas Lutheran University,"Private School, Religious","$58,600 ","$90,600 ",11%
1234,Mount Mercy University,"Private School, Religious","$62,300 ","$90,600 ",5%
1237,Oklahoma Panhandle State University,State School,"$53,300 ","$90,500 ",9%
1237,East Tennessee State University,"Research University, For Sports Fans, State School","$54,500 ","$90,500 ",10%
1237,Maryville College,"Liberal Arts School, Private School, Religious","$54,800 ","$90,500 ",11%
1240,Gallaudet University,Private School,"$52,300 ","$90,200 ",5%
1241,Belmont Abbey College,"Private School, Religious","$58,300 ","$90,100 ",7%
1241,Midland University,"Private School, Religious","$57,200 ","$90,100 ",3%
1243,Mount Mary University,"Private School, Religious","$56,000 ","$90,000 ",3%
1243,Santa Fe College,State School,"$59,000 ","$90,000 ",7%
1243,State College of Florida-Manatee-Sarasota,State School,"$61,500 ","$90,000 ",4%
1243,University of West Alabama,State School,"$55,600 ","$90,000 ",2%
1243,Southwest Minnesota State University,State School,"$57,700 ","$90,000 ",3%
1243,Grand View University,"Private School, Religious","$57,300 ","$90,000 ",5%
1249,Keuka College,Private School,"$54,500 ","$89,900 ",3%
1249,Averett University,"Private School, Religious","$52,600 ","$89,900 ",3%
1249,Universidad Adventista de las Antillas,"Private School, Religious","$55,100 ","$89,900 ",7%
1249,Huntington University,"Private School, Religious","$50,200 ","$89,900 ",3%
1249,Wilmington University,"Private School, Research University","$60,200 ","$89,900 ",13%
1254,Regent University,"Private School, Research University","$54,100 ","$89,800 ",2%
1254,Inter American University of Puerto Rico-Metro,"Private School, Research University","$55,100 ","$89,800 ",16%
1254,College of Central Florida,State School,"$52,700 ","$89,800 ",7%
1257,Catawba College,Private School,"$54,200 ","$89,700 ",11%
1257,Seminole State College of Florida,State School,"$60,200 ","$89,700 ",7%
1257,Louisiana State University-Shreveport,"Business, State School","$57,800 ","$89,700 ",2%
1257,Bethany College (Kansas),"Private School, Religious","$45,600 ","$89,700 ",16%
1261,Rogers State University,State School,"$54,100 ","$89,600 ",7%
1261,Warner Pacific University,"Private School, Religious","$58,700 ","$89,600 ",7%
1261,Cazenovia College,Private School,"$50,700 ","$89,600 ",2%
1261,University of North Carolina at Asheville,"Liberal Arts School, For Sports Fans, State School","$56,200 ","$89,600 ",18%
1261,Bethel University (Indiana),"Private School, Religious","$57,300 ","$89,600 ",5%
1261,Concordia University-Chicago,"Private School, Religious","$53,600 ","$89,600 ",1%
1261,Arizona Christian University,"Private School, Religious","$55,000 ","$89,600 ",8%
1268,University of Science and Arts of Oklahoma,"Liberal Arts School, State School","$50,400 ","$89,500 ",15%
1268,Ottawa University-Online,"Private School, Religious","$57,400 ","$89,500 ",7%
1268,Erskine College,"Liberal Arts School, Private School, Religious","$54,900 ","$89,500 ",10%
1268,Louisiana Christian University,"Private School, Religious","$54,600 ","$89,500 ",6%
1272,University of Montevallo,State School,"$49,900 ","$89,400 ",6%
1273,College of the Ozarks,"Private School, Religious, Sober School","$50,400 ","$89,300 ",14%
1274,Mount Saint Joseph University,"Private School, Religious","$56,400 ","$89,200 ",6%
1274,Glenville State University,State School,"$52,200 ","$89,200 ",3%
1274,Limestone University,Private School,"$52,500 ","$89,200 ",12%
1274,Southern Wesleyan University,"Private School, Religious","$53,900 ","$89,200 ",5%
1274,Spring Arbor University,"Private School, Religious","$52,400 ","$89,200 ",1%
1279,Tusculum University,"Private School, Religious","$51,900 ","$89,100 ",3%
1279,Aquinas College,"Private School, Religious","$54,200 ","$89,100 ",9%
1281,Eastern Oregon University,State School,"$57,100 ","$89,000 ",6%
1281,Wayne State College,State School,"$51,700 ","$89,000 ",9%
1281,Vincennes University,State School,"$53,700 ","$89,000 ",3%
1284,University of Pittsburgh-Greensburg,"Liberal Arts School, State School","$55,800 ","$88,900 ",28%
1284,Milligan University,"Private School, Religious","$53,100 ","$88,900 ",13%
1284,Morehead State University,"For Sports Fans, State School","$53,700 ","$88,900 ",8%
1287,North Carolina Wesleyan University,"Private School, Religious","$54,200 ","$88,800 ",7%
1287,University of North Alabama,State School,"$53,400 ","$88,800 ",5%
1289,Oklahoma Baptist University,"Private School, Religious","$54,100 ","$88,700 ",14%
1289,Houghton University,"Liberal Arts School, Private School, Religious","$55,100 ","$88,700 ",15%
1289,Hannibal-LaGrange University,"Private School, Religious","$51,400 ","$88,700 ",3%
1289,University of the Cumberlands,"Private School, Religious, Research University","$51,700 ","$88,700 ",29%
1289,Dillard University,"Liberal Arts School, Private School, Religious","$55,400 ","$88,700 ",23%
1294,East Central University,State School,"$54,800 ","$88,600 ",16%
1294,Winston-Salem State University,State School,"$59,700 ","$88,600 ",9%
1294,St. Andrews University,"Business, Private School, Religious","$49,900 ","$88,600 ",9%
1294,Herzing University-Madison,Private School,"$63,300 ","$88,600 ",4%
1294,Florida State College at Jacksonville,State School,"$56,500 ","$88,600 ",5%
1294,Judson University,"Private School, Religious","$55,000 ","$88,600 ",2%
1294,Kentucky State University,State School,"$53,700 ","$88,600 ",8%
1301,College of Biblical Studies-Houston,"Private School, Religious","$55,900 ","$88,500 ",0%
1302,Wilmington College,"Private School, Religious","$52,800 ","$88,400 ",6%
1302,Barton College,"Private School, Religious","$51,200 ","$88,400 ",9%
1302,Albany State University,State School,"$52,500 ","$88,400 ",4%
1302,Quincy University,"Private School, Religious","$52,400 ","$88,400 ",13%
1302,Madonna University,"Private School, Religious","$56,900 ","$88,400 ",2%
1307,Liberty University,"Private School, Religious, Research University, For Sports Fans","$57,000 ","$88,300 ",4%
1307,Oakwood University,"Private School, Religious","$57,300 ","$88,300 ",24%
1307,Southwest Baptist University,"Private School, Religious","$52,500 ","$88,300 ",7%
1310,Castleton University,State School,"$52,800 ","$88,200 ",6%
1311,Colorado Christian University,"Private School, Religious","$60,700 ","$88,000 ",3%
1311,Evangel University,"Private School, Religious","$51,800 ","$88,000 ",7%
1313,Salem College,"Liberal Arts School, Private School, Religious","$49,800 ","$87,900 ",17%
1313,Alvernia University,"Private School, Religious","$54,800 ","$87,900 ",3%
1315,Bluefield University,"Private School, Religious","$54,200 ","$87,800 ",31%
1316,West Virginia State University,"Liberal Arts School, State School","$50,000 ","$87,700 ",7%
1317,Culinary Institute of America,Private School,"$55,500 ","$87,600 ",0%
1317,University of Maine at Presque Isle,State School,"$50,700 ","$87,600 ",3%
1319,University of Massachusetts Global,State School,"$55,400 ","$87,500 ",1%
1319,Central Methodist University-College of Graduate and Extended Studies,"Private School, Religious","$49,400 ","$87,500 ",5%
1319,Northern State University,State School,"$54,300 ","$87,500 ",17%
1319,Governors State University,State School,"$57,000 ","$87,500 ",12%
1319,Blackburn College,"Private School, Religious","$54,700 ","$87,500 ",19%
1319,Life Pacific University,"Private School, Religious","$53,900 ","$87,500 ",0%
1325,University of Rio Grande,Private School,"$52,900 ","$87,400 ",5%
1325,The University of Tennessee-Martin,"For Sports Fans, State School","$56,400 ","$87,400 ",6%
1325,Gordon State College,State School,"$54,800 ","$87,400 ",9%
1328,Paul Quinn College,"Private School, Religious","$51,100 ","$87,300 ",0%
1328,Manhattan Christian College,"Private School, Religious","$49,500 ","$87,300 ",0%
1330,Jackson State University,"Research University, For Sports Fans, State School","$54,000 ","$87,100 ",16%
1331,Crown College,"Private School, Religious","$55,400 ","$87,000 ",1%
1332,North Central University,"Private School, Religious","$57,300 ","$86,900 ",1%
1332,Missouri Valley College,"Private School, Religious","$51,200 ","$86,900 ",7%
1332,Tabor College,"Private School, Religious","$52,200 ","$86,900 ",9%
1335,Trine University-Regional/Non-Traditional Campuses,Private School,"$48,600 ","$86,800 ",18%
1336,Chestnut Hill College,"Private School, Religious","$53,100 ","$86,700 ",10%
1336,Calumet College of Saint Joseph,"Private School, Religious","$52,600 ","$86,700 ",1%
1336,Rochester University,"Private School, Religious","$49,500 ","$86,700 ",1%
1339,Life University,Private School,"$56,500 ","$86,600 ",14%
1340,Davis & Elkins College,"Liberal Arts School, Private School, Religious","$47,100 ","$86,500 ",6%
1340,University of Mobile,"Private School, Religious","$50,900 ","$86,500 ",3%
1340,Springfield College,Private School,"$56,400 ","$86,500 ",4%
1340,University of Pikeville,"Liberal Arts School, Private School, Religious","$50,500 ","$86,500 ",8%
1344,Elizabeth City State University,State School,"$54,300 ","$86,400 ",14%
1344,McPherson College,"Private School, Religious","$53,700 ","$86,400 ",7%
1344,University of Maine at Fort Kent,State School,"$61,300 ","$86,400 ",4%
1347,Carlow University,"Private School, Religious","$56,500 ","$86,300 ",7%
1347,Lakeland University,"Business, Private School, Religious","$60,200 ","$86,300 ",7%
1347,Georgia Southwestern State University,State School,"$54,600 ","$86,300 ",6%
1347,Davenport University,"Business, Private School","$58,400 ","$86,300 ",14%
1351,Northwest Florida State College,State School,"$61,900 ","$86,200 ",3%
1351,Palm Beach State College,State School,"$57,200 ","$86,200 ",3%
1353,Ottawa University-Phoenix,"Private School, Religious","$53,700 ","$86,100 ",25%
1353,Friends University,Private School,"$55,400 ","$86,100 ",5%
1353,University of Maine at Augusta,State School,"$54,100 ","$86,100 ",15%
1356,Minot State University,State School,"$57,000 ","$86,000 ",7%
1357,University of Northwestern Ohio,Private School,"$53,000 ","$85,900 ",1%
1358,Indiana University-Southeast,State School,"$52,100 ","$85,800 ",10%
1359,Keystone College,Private School,"$49,600 ","$85,700 ",13%
1359,Carson-Newman University,"Private School, Religious","$53,800 ","$85,700 ",4%
1359,Asbury University,Private School,"$50,400 ","$85,700 ",4%
1362,Lees-McRae College,"Private School, Religious","$52,000 ","$85,600 ",21%
1362,Northern Vermont University,State School,"$50,200 ","$85,600 ",9%
1362,Lewis-Clark State College,State School,"$60,000 ","$85,600 ",5%
1365,Cornerstone University,"Private School, Religious","$53,500 ","$85,500 ",3%
1366,Lee University,"Private School, Religious","$55,000 ","$85,400 ",3%
1366,University of Hawaii at Hilo,State School,"$55,300 ","$85,400 ",11%
1366,Delta State University,State School,"$49,900 ","$85,400 ",5%
1366,Kentucky Christian University,"Private School, Religious","$51,700 ","$85,400 ",0%
1370,Gardner-Webb University,"Private School, Religious, Research University, For Sports Fans","$53,200 ","$85,300 ",6%
1370,Buena Vista University,"Private School, Religious","$52,700 ","$85,300 ",4%
1372,Maranatha Baptist University,"Private School, Religious","$56,700 ","$85,200 ",3%
1372,Tennessee Wesleyan University,"Private School, Religious","$54,800 ","$85,200 ",2%
1374,Moore College of Art and Design,"Art, Private School","$50,900 ","$85,100 ",0%
1375,Hodges University,Private School,"$51,800 ","$85,000 ",9%
1376,Savannah State University,"For Sports Fans, State School","$52,400 ","$84,900 ",17%
1376,Simpson University,"Private School, Religious","$54,200 ","$84,900 ",3%
1376,Lincoln University (Missouri),State School,"$47,100 ","$84,900 ",6%
1379,La Roche University,"Private School, Religious","$55,000 ","$84,800 ",13%
1379,Thomas University,Private School,"$50,200 ","$84,800 ",3%
1379,Maine College of Art & Design,Private School,"$51,900 ","$84,800 ",0%
1382,Marywood University,"Private School, Religious","$53,200 ","$84,700 ",5%
1383,Cincinnati College of Mortuary Science,Private School,"$47,600 ","$84,500 ",0%
1384,Pensacola State College,State School,"$52,200 ","$84,400 ",9%
1384,Calvary University,"Private School, Religious","$50,700 ","$84,400 ",0%
1386,Art Academy of Cincinnati,"Art, Private School","$47,000 ","$84,200 ",0%
1386,Midland College,State School,"$53,200 ","$84,200 ",3%
1386,Polk State College,State School,"$53,800 ","$84,200 ",1%
1389,Hilbert College,"Private School, Religious","$51,900 ","$84,100 ",1%
1389,Mars Hill University,Private School,"$52,400 ","$84,100 ",8%
1389,Martin Luther College,"Private School, Religious","$49,600 ","$84,100 ",0%
1392,Valley City State University,State School,"$49,400 ","$84,000 ",0%
1392,Metropolitan College of New York,Private School,"$54,500 ","$84,000 ",0%
1392,Alabama State University,"For Sports Fans, State School","$49,500 ","$84,000 ",20%
1395,Sul Ross State University,State School,"$49,300 ","$83,900 ",9%
1396,Bryan College-Dayton,"Private School, Religious","$49,300 ","$83,700 ",4%
1396,Dalton State College,State School,"$54,500 ","$83,700 ",11%
1396,St Petersburg College,State School,"$58,800 ","$83,700 ",11%
1396,Moody Bible Institute,"Private School, Religious","$54,800 ","$83,700 ",0%
1396,University of Maine at Farmington,State School,"$54,500 ","$83,700 ",7%
1401,Union Institute & University,"Private School, Research University","$52,700 ","$83,600 ",0%
1401,University of Arkansas at Pine Bluff,"For Sports Fans, State School","$53,900 ","$83,600 ",18%
1401,Briar Cliff University,"Private School, Religious","$56,400 ","$83,600 ",12%
1401,Bethel College-North Newton,"Liberal Arts School, Private School, Religious","$54,600 ","$83,600 ",6%
1405,Middle Georgia State University,State School,"$53,700 ","$83,400 ",15%
1406,SUNY Brockport,State School,"$57,900 ","$83,200 ",8%
1407,Talladega College,"Private School, Religious","$44,300 ","$83,100 ",19%
1408,Central Christian College of Kansas,"Private School, Religious","$53,500 ","$83,000 ",2%
1409,Saint Mary-of-the-Woods College,"Private School, Religious","$53,600 ","$82,900 ",1%
1410,Medaille University,Private School,"$53,300 ","$82,800 ",4%
1410,Mid-America Christian University,"Private School, Religious","$50,600 ","$82,800 ",4%
1410,Paine College,"Liberal Arts School, Private School, Religious","$44,600 ","$82,800 ",19%
1410,Indian River State College,State School,"$54,100 ","$82,800 ",5%
1410,Berea College,"Liberal Arts School, Private School","$52,800 ","$82,800 ",20%
1415,Belhaven University,"Private School, Religious","$50,400 ","$82,700 ",2%
1416,William Penn University,"Private School, Religious","$57,300 ","$82,600 ",10%
1417,Peru State College,State School,"$54,300 ","$82,400 ",6%
1418,North Carolina Central University,"For Sports Fans, State School","$54,800 ","$82,300 ",9%
1419,Mount Aloysius College,"Private School, Religious","$52,000 ","$82,100 ",7%
1420,Central State University,State School,"$51,000 ","$82,000 ",8%
1420,Mary Baldwin University,"Private School, Religious","$49,100 ","$82,000 ",4%
1420,University of Arkansas-Fort Smith,State School,"$52,300 ","$82,000 ",13%
1423,Anderson University (South Carolina),"Private School, Religious","$52,700 ","$81,900 ",3%
