Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
206,University of Dayton,"Party School, Private School, Religious, Research University, For Sports Fans","$72,800 ","$129,700 ",32%
206,University of Wisconsin-Madison,"Party School, Research University, For Sports Fans, State School","$74,900 ","$129,700 ",30%
206,St. John's College (Maryland),"Liberal Arts School, Private School","$66,300 ","$129,700 ",0%
210,Baylor University,"Private School, Religious, Research University, Sober School, For Sports Fans","$69,500 ","$129,500 ",14%
210,University of Connecticut,"Party School, Research University, For Sports Fans, State School","$76,300 ","$129,500 ",25%
210,Stonehill College,"Liberal Arts School, Private School, Religious","$70,500 ","$129,500 ",16%
213,University of Utah,"Research University, For Sports Fans, State School","$70,500 ","$129,400 ",26%
213,Wofford College,"Liberal Arts School, Private School, Religious, For Sports Fans","$66,700 ","$129,400 ",30%
213,University of Minnesota-Twin Cities,"Research University, For Sports Fans, State School","$73,400 ","$129,400 ",30%
216,Willamette University,"Liberal Arts School, Private School","$64,700 ","$129,200 ",11%
217,James Madison University,"For Sports Fans, State School","$72,200 ","$129,100 ",13%
218,Clemson University,"Research University, For Sports Fans, State School","$72,700 ","$128,900 ",34%
218,Texas Tech University,"Research University, For Sports Fans, State School","$70,400 ","$128,900 ",22%
220,SUNY at Albany,"Research University, For Sports Fans, State School","$67,100 ","$128,800 ",21%
220,University of Redlands,Private School,"$69,600 ","$128,800 ",6%
222,Seattle Pacific University,"Private School, Religious, Research University","$69,100 ","$128,700 ",12%
223,Washington State University,"Research University, For Sports Fans, State School","$71,600 ","$128,500 ",21%
224,Hamilton College,"Liberal Arts School, Private School","$76,300 ","$128,300 ",29%
224,University of Georgia,"Research University, For Sports Fans, State School","$70,700 ","$128,300 ",17%
226,Oregon State University,"Research University, For Sports Fans, State School","$72,700 ","$128,200 ",38%
227,California Lutheran University,"Private School, Religious","$64,200 ","$127,900 ",13%
228,University of Tulsa,"Private School, Religious, Research University, For Sports Fans","$74,500 ","$127,800 ",36%
229,San Diego State University,"Research University, For Sports Fans, State School","$71,400 ","$127,700 ",18%
230,Saint Joseph's University,"Private School, Religious, For Sports Fans","$71,800 ","$127,600 ",10%
231,Rutgers University-Newark,"Business, Research University, State School","$72,500 ","$127,500 ",13%
231,Western Washington University,State School,"$70,600 ","$127,500 ",17%
231,University of Florida,"Research University, For Sports Fans, State School","$70,400 ","$127,500 ",29%
234,Vassar College,"Liberal Arts School, Private School","$68,500 ","$127,300 ",29%
234,University of Houston,"Research University, For Sports Fans, State School","$70,600 ","$127,300 ",24%
234,University of Dallas,"Private School, Religious","$67,700 ","$127,300 ",22%
234,Bradley University,"Private School, For Sports Fans","$69,500 ","$127,300 ",23%
238,University of Hartford,"Private School, Research University, For Sports Fans","$69,100 ","$127,000 ",13%
239,Rhode Island School of Design,Private School,"$74,700 ","$126,800 ",9%
239,Loyola University Chicago,"Private School, Religious, Research University, For Sports Fans","$68,800 ","$126,800 ",14%
241,Skidmore College,"Liberal Arts School, Private School","$68,600 ","$126,700 ",22%
241,Morehouse College,"Liberal Arts School, Private School","$71,800 ","$126,700 ",27%
241,Augustana College,"Liberal Arts School, Private School, Religious","$60,700 ","$126,700 ",25%
244,The College of New Jersey,State School,"$76,200 ","$126,400 ",19%
244,Florida Institute of Technology,"Private School, Research University","$74,500 ","$126,400 ",38%
244,Colorado College,"Liberal Arts School, Private School","$67,500 ","$126,400 ",29%
244,Pepperdine University,"Private School, Religious, Research University, For Sports Fans","$75,100 ","$126,400 ",4%
248,Albion College,"Liberal Arts School, Private School","$63,000 ","$126,300 ",19%
